Dataset_Fraction,Train_Size,Test_Size,Model,Positive_Accuracy,Negative_Accuracy,Neutral_Accuracy,Macro_F1,Test_Accuracy,Train_Accuracy,Train_Macro_F1,Test_Macro_F1,Accuracy_Gap,Positive_Accuracy_Std,Negative_Accuracy_Std,Neutral_Accuracy_Std,Macro_F1_Std,Test_Accuracy_Std,Train_Accuracy_Std,Train_Macro_F1_Std,Test_Macro_F1_Std,Accuracy_Gap_Std,Positive_Accuracy_CI95,Negative_Accuracy_CI95,Neutral_Accuracy_CI95,Macro_F1_CI95,Test_Accuracy_CI95,Train_Accuracy_CI95,Accuracy_Gap_CI95,Seeds_Used
0.6,28578,7372,BiLSTM,62.272089761570825,54.36241610738255,57.4957888826502,56.690014317132956,57.40640260444927,83.55728182518021,82.56983736670898,56.690014317132956,26.150879220730943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.6,28578,7372,Logistic Regression,58.95278167367929,63.38087248322148,56.02657682949655,58.49750626676008,58.97088081027311,82.2217556628642,81.61970650275374,58.49750626676008,23.250874852591096,1.0005111995807727,1.2846806066370406,1.1955603869099862,0.2237073986281864,0.2502050159569005,0.0951598108305726,0.1004524320162119,0.2237073986281864,0.1651421644705808,1.1321850043941812,1.4537529603665909,1.35290393798127,0.253148752562681,0.2831336292980098,0.1076834631021673,0.1868759512988287,3
0.6,28578,7372,Random Forest,39.41093969144461,42.64541387024608,71.43926632977728,52.34489529156297,55.93235666485802,68.06867753749971,66.51104766950111,52.34489529156297,12.136320872641688,2.3265285245009326,1.34635381624281,2.2092900107842146,0.5398038851874678,0.9033499923725066,0.2524006353433061,0.3501438879448841,0.5398038851874678,1.1009944430535707,2.6327148649999947,1.5235427669352422,2.5000469975906663,0.6108456001082772,1.0222367480866776,0.2856182065278171,1.245892498623592,3
0.6,28578,7372,SVM,59.86442262739598,30.956375838926174,73.62904735167508,53.70222381661485,57.1667570989329,89.34961625492804,88.50175553261586,53.70222381661485,32.18285915599514,0.9095407413905394,0.8097557178730572,1.0530184601685244,0.1927960758535448,0.2555411674976447,0.1776298767891514,0.2019426976069017,0.1927960758535448,0.0961349661869276,1.029242240086289,0.9163248561160228,1.191602563222288,0.2181692979337854,0.289172053213841,0.2010071280734598,0.1087869552688541,3
0.6,28578,7372,VADER,69.65871902758299,58.19351230425056,42.88789069810967,52.88019959270323,53.01591607885694,54.59444327804605,53.040516816946216,52.88019959270323,1.5785271991891154,0.6782897675805022,0.3756999117042608,0.4864380092969145,0.0429358820568177,0.0255781074764558,0.169220249453635,0.1629208167261964,0.0429358820568177,0.1907301543548055,0.7675571286062964,0.4251444725076683,0.550456426598813,0.0485865244042595,0.0289443533843102,0.1914907388858079,0.2158314876802786,3
0.8,38104,9830,BiLSTM,54.02419779063651,38.75432525951557,75.09473684210526,56.42730303058978,59.2675483214649,73.85838757085871,71.36908926513597,56.42730303058978,14.59083924939381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.8,38104,9830,Logistic Regression,59.2845870594424,65.21967075600293,55.30526315789473,58.930599509345846,59.281112241437775,80.7605500734831,80.11405035700756,58.930599509345846,21.47943783204532,0.5966929520313359,0.8379202274932153,0.1794626224918525,0.0326690997747786,0.070643155835871,0.0720953103017588,0.0743846601626082,0.0326690997747786,0.1075940343846726,0.6752216394985348,0.948195999049175,0.2030810750740886,0.0369685665563363,0.0799402562749598,0.0815835237476589,0.1217541116417696,3
0.8,38104,9830,Random Forest,38.40084166228301,42.84366152878264,73.00350877192983,52.65737250183096,56.55815530688369,66.7375253691651,65.08810514061862,52.65737250183096,10.179370062281404,0.959450395953321,1.2731114403805028,1.0337011230021562,0.1129909426523486,0.0832000281206156,0.2345015618051036,0.2914528766212633,0.1129909426523486,0.2769973911399441,1.0857203309803762,1.440661216311668,1.16974293838875,0.1278612882663931,0.0941496949187628,0.2653634980737859,0.3134520559453628,3
0.8,38104,9830,SVM,60.30159565141154,33.207507601971265,72.92631578947368,54.54155508772777,57.639877924720246,87.0844705717685,85.88957846861062,54.54155508772777,29.44459264704825,0.3280429060822316,0.1858031366957036,0.958299509620301,0.3756127859277492,0.4677340359134337,0.0961244266808526,0.1389951986895762,0.3756127859277492,0.5628289341156014,0.3712154938593541,0.210256042335581,1.0844179804933916,0.4250458804102445,0.5292908882257913,0.1087750286949818,0.6369008957739312,3
0.8,38104,9830,VADER,69.43713834823778,57.67012687427913,42.85614035087719,52.64273122389388,52.78738555442524,54.69329554202534,53.13266887078749,52.64273122389388,1.9059099876001069,0.3515682562820166,0.4376352470317576,0.1730361825394821,0.1321736505963303,0.1455358679815164,0.0340385549344642,0.0297849146436002,0.1321736505963303,0.1157006516337296,0.3978369337097813,0.4952309022540812,0.1958088736746818,0.149568565793071,0.1646893382095137,0.038518250954308,0.1309276126376519,3
1.0,47631,12288,BiLSTM,54.20875420875421,48.76698540513337,70.73088582014147,58.59319946065119,60.432942708333336,73.73139342025151,71.96544192104848,58.59319946065119,13.298450711918171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,47631,12288,Logistic Regression,59.25925925925926,67.1112229491696,54.6480296396093,59.26953642811483,59.5703125,79.85975520144444,79.19140503279553,59.26953642811483,20.289442701444443,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.040547979331808e-15,0.0,0.0,0.0,0.0,0.0,0.0,3
1.0,47631,12288,Random Forest,38.0050505050505,43.10518369401107,71.9434152913439,52.33921897631853,56.0546875,65.81707991294185,64.1845817999614,52.33921897631853,9.762392412941852,1.7525810449206247,2.192553690064617,1.2071378199701877,0.2005403196270424,0.2093860730837989,0.6077634981973669,0.6643899614370076,0.2005403196270424,0.6826600570667835,1.9832321506006545,2.481108067816168,1.3660050368051813,0.2269327347392912,0.2369426470926003,0.6877491418042417,0.7725025767165249,3
1.0,47631,12288,SVM,60.94276094276094,34.77604428787116,73.47591781744696,55.640809367425184,58.53678385416666,85.14622829669753,83.58053751328508,55.640809367425184,26.60944444253086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0,0.0,0.0,0.0,4.020273989665904e-15,3
1.0,47631,12288,VADER,69.65488215488216,57.3980875691998,42.842707982485685,52.59911100689991,52.734375,54.72276458608889,53.15036541180629,52.59911100689991,1.9883895860888927,0.0,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
